iter	Logloss
0	0.622515734
1	0.5553656467
2	0.5028416062
3	0.4574768938
4	0.4247324143
5	0.4012103957
6	0.3856754208
7	0.36812381
8	0.3542049311
9	0.340884799
10	0.3325253899
11	0.3246291446
12	0.3154204898
13	0.3070038823
14	0.3002260158
15	0.294308981
16	0.2899999096
17	0.2863476736
18	0.2832557677
19	0.2791407967
20	0.2767730251
21	0.2729143189
22	0.2694023697
23	0.2657095664
24	0.2617932116
25	0.2591935919
26	0.2559231107
27	0.2537781243
28	0.2512254519
29	0.2493909765
30	0.2471584246
31	0.245521304
32	0.2439715607
33	0.2430392783
34	0.2415544509
35	0.2404326773
36	0.2386012691
37	0.2370285427
38	0.2362664761
39	0.234807451
40	0.233158332
41	0.2307306282
42	0.2290774576
43	0.2274600632
44	0.2263783423
45	0.2246710754
46	0.2232851831
47	0.2220636829
48	0.2207943552
49	0.2191567882
50	0.2181607512
51	0.2163194086
52	0.214745747
53	0.2137958547
54	0.2124215291
55	0.2105287776
56	0.2096871482
57	0.2080379987
58	0.2073259743
59	0.206257883
60	0.20466563
61	0.2038979269
62	0.2027619411
63	0.2016182805
64	0.2005365578
65	0.1991435352
66	0.1981392792
67	0.1966206184
68	0.1956459689
69	0.1950894304
70	0.1940662773
71	0.1936901266
72	0.1925786339
73	0.1914489227
74	0.1903535427
75	0.1893700734
76	0.1881573148
77	0.187375946
78	0.1865740453
79	0.1855266614
80	0.1844901724
81	0.1838752334
82	0.1825572123
83	0.1815851977
84	0.180546437
85	0.1795441572
86	0.1787097172
87	0.1780054701
88	0.1769863549
89	0.17639486
90	0.1756418151
91	0.1744359219
92	0.1736485007
93	0.1725791806
94	0.1714685807
95	0.169403458
96	0.1684627567
97	0.1675935315
98	0.1668950899
99	0.1663564771
100	0.1652965253
101	0.1645929121
102	0.1638507013
103	0.1626494303
104	0.1615644523
105	0.1607072783
106	0.1601018902
107	0.1592065076
108	0.158419186
109	0.1577579563
110	0.1573425282
111	0.1568231116
112	0.1557712165
113	0.1550387233
114	0.1538429483
115	0.1527470937
116	0.1520680082
117	0.1515526036
118	0.1511297488
119	0.1503091458
120	0.1496716162
121	0.1488648453
122	0.1482425177
123	0.1474443416
124	0.146743001
125	0.1458112224
126	0.1451850921
127	0.1444400534
128	0.1438761362
129	0.1432262727
130	0.1426578709
131	0.1421316285
132	0.1416658149
133	0.1410818866
134	0.1403252283
135	0.1398260445
136	0.1392661863
137	0.1387900646
138	0.1383735571
139	0.1377162053
140	0.1370739564
141	0.136659486
142	0.1361027459
143	0.1352941443
144	0.1348390597
145	0.1344824755
146	0.1338722072
147	0.1331197461
148	0.1325341035
149	0.1319108966
150	0.1315251017
151	0.13119337
152	0.1303135943
153	0.1298716816
154	0.1292105492
155	0.1285620516
156	0.1274922841
157	0.1268838049
158	0.1263801036
159	0.1259236214
160	0.1255394345
161	0.1251520995
162	0.1245706389
163	0.1240317988
164	0.1235229967
165	0.1230377231
166	0.122494796
167	0.1218743475
168	0.1212675305
169	0.120866272
170	0.1205421376
171	0.1200438613
172	0.1196556019
173	0.119373783
174	0.1186421145
175	0.1182210764
176	0.1176713271
177	0.1174405213
178	0.1170881274
179	0.1165961188
180	0.1163441248
181	0.1161252904
182	0.1158313893
183	0.1151574371
184	0.1147591448
185	0.1142126523
186	0.1135712156
187	0.1131546079
188	0.1127308634
189	0.1124775545
190	0.112058288
191	0.1114219717
192	0.1109322675
193	0.1103419729
194	0.110057525
195	0.1097209521
196	0.1090157662
197	0.1087844288
198	0.1082752764
199	0.1075482512
